region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check,rich_hotel_count,not_rich_hotel_count,tour_count,nature_feat,nature_feat_rating_mean,not_rich_hotel_feat_rating_mean,rich_hotel_feat_rating_mean,tour_feat_rating_mean,nature_feat_rating_std,not_rich_hotel_feat_rating_std,rich_hotel_feat_rating_std,tour_feat_rating_std,средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм
Krasnodar Krai,1.0,1.0,1.0,1.0,Very High,Краснодарский край,1.0,1.0,1.0,1.0,9856.0,38.0,675.0,1485.0,4.548821548821548,4.421052631578948,4.564935064935065,4.691851851851852,0.8748162832586464,1.1770687124853019,0.9772885983209202,0.8260459471500029,54492,14427,27229,40865,61594,18.3,9.2,5832042,1112335,3307887,1411820,1234958,433455,348383,961639,841715,727943,1283949,2749485,572221,1729083,448181,3082557,540114,1578804,963639,1556645,334564,984540,237541,1765674,317201,921860,526613,18072510,100110964,149338428.0,473
Sverdlovsk Oblast,0.506194346482788,0.457039331004181,0.337536231884057,0.408210114066151,Very High,Свердловская область,1.348128603446693,0.1377857037188497,0.6668115403290743,1.209381617456612,793.0,33.0,229.0,191.0,4.50261780104712,4.454545454545454,4.4640605296343,4.716157205240175,1.0098167918761995,1.120572094147368,1.015800503542996,0.8648856996295718,53343,14521,27129,40418,60467,17.9,8.1,4263691,840806,2399910,1022975,929039,328486,230321,716853,619600,510046,929346,1974676,431739,1242014,300923,2289015,409067,1157896,722052,1684610,367675,1069919,247016,1973918,348022,1017189,608707,3157004,10185979,13029768.2,454
Sverdlovsk Oblast,0.506194346482788,0.457039331004181,0.337536231884057,0.408210114066151,Very High,Свердловская область,1.348128603446693,0.1377857037188497,0.6668115403290743,1.209381617456612,1.0,0.0,0.0,0.0,,,5.0,,,,,,53343,14521,27129,40418,60467,17.9,8.1,4263691,840806,2399910,1022975,929039,328486,230321,716853,619600,510046,929346,1974676,431739,1242014,300923,2289015,409067,1157896,722052,1684610,367675,1069919,247016,1973918,348022,1017189,608707,3157004,10185979,13029768.2,454
Tatarstan Republic,0.440533059782575,0.35690089436941,0.293043478260869,0.304032879929527,Very High,Татарстан,1.1729926390639096,0.0890948526402177,0.665202013228021,1.0375009255755392,1219.0,82.0,492.0,181.0,4.629834254143646,4.573170731707317,4.46923707957342,4.760162601626016,0.9134759469789144,0.8319319743807116,0.9957200654166,0.7466137908804876,52221,15294,27811,40635,59593,16.7,5.0,4000084,773743,2283072,943269,851777,306695,242278,693484,536334,522134,847382,1868294,397453,1185297,285544,2131790,376290,1097775,657725,1413083,315358,893441,204284,1657832,299037,868527,490268,4191422,13998938,16846118.7,628
Chelyabinsk Oblast,0.381014525302433,0.379930437934762,0.216159420289855,0.240917617322201,Very High,Челябинская область,1.299023404081821,0.05207661249798,0.5673259309950898,1.1145367479203403,1.0,0.0,0.0,0.0,,,2.0,,,,,,39695,13042,22703,32147,45662,14.6,10.6,3421556,671416,1922152,827988,743563,257025,201630,573218,481474,415143,749503,1568338,344484,985581,238273,1853218,326932,936571,589715,1284629,280476,815191,188962,1542111,265011,792765,484335,1808517,6807272,9076707.2,385
Chelyabinsk Oblast,0.381014525302433,0.379930437934762,0.216159420289855,0.240917617322201,Very High,Челябинская область,1.299023404081821,0.05207661249798,0.5673259309950898,1.1145367479203403,132.0,6.0,28.0,53.0,4.377358490566038,3.6666666666666665,4.462121212121212,4.571428571428571,1.0782181721272233,1.7511900715418263,1.0293798847012348,1.0338196500275418,39695,13042,22703,32147,45662,14.6,10.6,3421556,671416,1922152,827988,743563,257025,201630,573218,481474,415143,749503,1568338,344484,985581,238273,1853218,326932,936571,589715,1284629,280476,815191,188962,1542111,265011,792765,484335,1808517,6807272,9076707.2,385
Bashkortostan Republic,0.307544295192021,0.281629489815688,0.192246376811594,0.210251213612574,Very High,Башкортостан,1.2897173177050802,0.0404200340372578,0.6251014238178647,1.0936550123835371,1176.0,14.0,134.0,233.0,4.579399141630901,4.142857142857143,4.4770408163265305,4.686567164179104,0.8876089439685999,1.231455852429764,1.0483543748913748,0.7986634554078005,40006,11934,21553,31335,45723,16.3,10.0,4091621,818105,2328492,945024,909177,326718,232738,693930,529831,555411,843816,1934940,420581,1223019,291340,2156681,397524,1105473,653684,1176332,261721,750572,164039,1362995,247410,726091,389494,2154174,8870912,11391604.5,297
Novosibirsk Oblast,0.300961474260532,0.300121561740239,0.193405797101449,0.223770484779402,Very High,Новосибирская область,1.3635980346476595,0.0432785089765379,0.6426264277733577,1.1569998838350513,503.0,14.0,87.0,70.0,4.571428571428571,4.785714285714286,4.41351888667992,4.655172413793103,0.7136643259868994,0.5789342235218394,1.0332982734204765,0.8187850643213599,49347,14300,26107,38253,56264,16.8,10.2,2797492,535264,1598243,663985,592110,216807,162996,489839,401981,332837,600922,1281351,274670,808524,198157,1516141,260594,789719,465828,1007632,214129,643865,149638,1221474,203001,651871,366602,2777827,8739968,8180532.4,337
Nizhny Novgorod Oblast,0.273328194140105,0.231265742089111,0.18927536231884,0.200708972166125,Very High,Нижегородская область,1.2524583488467456,0.0379892634273852,0.6924838577824122,1.0604072802038795,1114.0,23.0,325.0,176.0,4.5625,3.869565217391304,4.436265709156194,4.7907692307692304,0.9420721840708386,1.6598014072359533,1.0138195439524678,0.6568074385967406,50283,14110,26069,38528,57166,17.4,7.5,3108918,543407,1740931,824580,602860,224202,164130,517664,445853,407595,746614,1408266,279365,899280,229621,1700652,264042,841651,594959,1108979,228055,707637,173287,1376284,215562,692182,468540,2504365,8890460,9077501.1,420
Samara Oblast,0.271901764523784,0.256306210586183,0.182898550724637,0.220394682163044,Very High,Самарская область,1.4281368349507004,0.0403098679550377,0.6726640816214282,1.205010544314587,378.0,3.0,136.0,79.0,4.2784810126582276,3.6666666666666665,4.357142857142857,4.735294117647059,1.1201729360621693,2.3094010767585034,1.124581518730323,0.7427206654780146,42325,13156,23393,33633,48520,15.6,10.6,3164384,552098,1799419,812867,613084,223519,182898,531314,465572,411803,736194,1452973,284309,930900,237764,1711411,267789,868519,575103,1141242,225388,733590,182264,1377325,212863,705709,458753,2039895,8471227,6331987.5,392
Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,Very High,Ростовская область,1.4433428536709525,0.0501283904426003,0.7579111260166285,1.2299280573579698,1262.0,27.0,227.0,364.0,4.601648351648351,4.444444444444445,4.4239302694136295,4.726872246696035,0.8515728617168954,1.219499687240422,1.1008602021446254,0.7557042056510836,46747,13225,24360,35924,53186,17.2,10.2,4192322,710490,2423911,1057921,793176,327824,247336,715980,604162,542017,961827,1954601,365651,1257722,331228,2237721,344839,1166189,726693,1307033,242079,847168,217786,1538400,228433,815630,494337,3394620,7422890,6193880.9,309
