"регион","средний доход","column_20% персентиль дохода","column_40% персентиль дохода","column_60% персентиль дохода","column_80% персентиль дохода","column_100% персентиль дохода","доля населения с среднедушевые доходом ниже медианы","численность населения с денежными доходами ниже границы бедност","население","моложе трудоспо-собного возраста","в трудоспо-собном возрасте","старше трудоспо-собного возраста","a","b","c","d","e","f","g","h","i","j","k","l","m","n","p","q","r","s","< 18","t","q.1","r.1","s.1","t.1","u","v","w","column_18 <= x <= 25","x","y","z","aa","ab","column_25 < x <= 30","ac","ad","ae","af","ag","ah","ai","aj","ak","al","column_30 < x <= 40","am","an","aq","ar","as","at","aq.1","av","ax","az","column_41 < x <= 50","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","column_51 < x <= 60","bk","bl","bm","bn","bo","bp","bq","bv","bw","bx","by","bz","ca","cb","cd","ce","cf","cg","ch","ci","cj","ck","cl","cm","cn","co","cp","cr","cs","ct","cq","cu","cv","cw","cx","cy","cz","da","db","dc","> 60","мужчины","мужчины моложе трудоспо-собного возраста","мужчины трудоспо-собного возраста","мужчины старше трудоспо-собного возраста","женщины","женщины моложе трудоспо-собного возраста","женщины трудоспо-собного возраста","женщины старше трудоспо-собного возраста","городские мужчины","городские мужчины моложе трудоспо-собного возраста","городские мужчины в трудоспо-собном возрасте"," городские мужчины старше трудоспо-собного возраста","городские женщины","городские женщины моложе трудоспо-собного возраста","городские женщины в трудоспо-собном возрасте","городские женщины старше трудоспо-собного возраста","оценка туристского потока (число поездок)","оценка туристского потока (число ночевок)","доход от гостиниц/отелей/хостелов в год (тыс)","число турфирм"
"        Тульская область","42341","13816","24115","34211","48688","90875","14.7000000000","9.1000000000","1496690","218970","844078","433642","10107","10728","11456","12465","13491","15555","16221","14832","14867","15193","14424","14169","14811","14470","13428","12753","12592","13061","244623","13008","12711","12055","12193","11738","12454","11903","13108","99170","14429","14607","15111","16383","18604","79134","21660","23247","24086","26127","25758","25084","24808","25287","23874","23444","243375","24594","23147","23071","22669","23170","23511","23105","22095","22542","21866","229770","22383","19713","19463","18288","19047","19847","19429","21807","21885","23089","204951","25112","24050","24306","24268","23485","22488","22075","19463","20072","18809","18413","19194","15496","13553","11560","7325","4982","4024","6822","9595","9074","9700","8728","7736","5439","3924","2652","2350","2592","1963","1807","1246","1042","804","544","397","241","177","86","73","395667","676671","112301","440135","124235","820019","106669","403943","309407","487727","82721","316849","88157","609369","78309","300486","230574","1799648","6171476","2810307.8000000000","200"
"        Тюменская область без авт. округов","42570","12519","22730","33174","48596","95829","16.6000000000","11.9000000000","1602672","348387","900273","354012","18473","18907","19384","21247","22254","23810","24874","25012","24012","24069","22761","22441","22009","21120","19657","18357","17395","16650","382432","16673","16270","14561","14651","14090","14275","14424","15588","120532","16567","16425","16614","19473","22194","91273","25884","27254","28898","30966","31603","30535","29654","29620","28126","25331","287871","24894","23628","22793","22299","22272","21579","20504","19287","19225","18050","214531","18429","17340","17149","16756","17292","18007","19000","20904","21742","22630","189249","23772","22801","21578","21252","19557","20556","19852","17458","16994","16060","13641","14170","10143","9835","8338","4757","3193","3069","3956","5909","5970","6300","5447","4708","3737","2954","2166","1974","1879","1243","1035","738","586","348","266","211","173","95","42","21","316784","740437","178107","456359","105971","862235","170280","443914","248041","488737","119596","304302","64839","594213","114825","313189","166199","1388552","4081863","8311472.0000000000","312"
"        Республика Адыгея ","42595","11384","21412","32055","48193","99929","18.2000000000","12.3000000000","498285","98262","286770","113253","5307","5283","5054","5519","5869","6455","6947","6766","6491","6646","6376","6978","6484","6498","6190","5399","5572","5116","108950","4936","4791","4805","5714","5525","5679","5016","5793","42259","6294","5767","5973","6960","7637","32631","9029","8865","8049","8386","8849","9103","7878","7826","7410","7009","82404","8694","7453","7085","6209","6795","7244","6277","6154","6216","6162","68289","6566","5797","6099","5401","5566","6417","5797","6285","6575","6837","61340","7845","6746","6589","6029","6102","5805","5567","4961","5140","4777","4994","4429","3657","3326","2732","1872","1058","1329","1726","2343","2635","2518","2320","2029","1486","1102","602","419","468","414","410","345","229","159","103","72","39","17","14","4","102412","233517","50265","147331","35921","264768","47997","139439","77332","112785","24317","71846","16622","133650","23902","72050","37698","363854","976202","979965.0000000000","28"
"        Магаданская область","110218","29439","55384","82928","124698","258642","18.2000000000","6.7000000000","135907","24995","84617","26295","1185","1304","1277","1432","1571","1643","1699","1744","1803","1816","1730","1591","1594","1611","1568","1427","1483","1509","27987","1286","1249","1113","1183","1227","1290","1207","1313","9868","1497","1315","1565","1673","1942","7992","2119","2204","2449","2548","2545","2543","2534","2640","2523","2451","24556","2604","2552","2573","2329","2407","2337","2334","2252","2178","2167","23733","2122","1919","1797","1709","1714","1758","1785","1941","1850","1882","18477","1891","1838","1882","1651","1560","1494","1559","1317","1386","1249","1114","1137","872","708","596","343","280","224","309","326","349","283","252","201","123","88","57","32","49","18","28","24","11","16","9","5","3","5","2","3","23294","66125","12851","45194","8080","69782","12144","39423","18215","63505","12393","43493","7619","67482","11699","38452","17331","142781","335651","680505.1000000000","7"
"        Республика Саха (Якутия)","69031","18010","34173","51484","77904","163583","18.5000000000","15.2000000000","997833","239899","600232","157702","12225","13351","12817","13480","13858","15389","16548","17008","16604","16614","16056","16303","16113","15342","15042","13149","13198","13745","266842","13293","12887","12637","13486","12454","12600","12382","13425","103164","14039","14327","14368","14868","15852","73454","17534","17996","17875","18702","18178","17944","17005","16822","16085","14584","172725","14785","13901","14109","13112","13073","12755","12596","12045","12102","11423","129901","11870","11132","10894","11043","11103","11650","11117","11836","11762","12383","114790","12329","11215","10840","9958","9867","8852","8461","7755","7392","6383","5974","5436","4235","3992","3274","2472","1757","1252","1572","1806","1796","1931","1659","1485","1136","1024","661","565","529","364","294","214","148","102","58","68","33","24","10","34","136957","482710","122227","313130","47353","515123","117672","287102","110349","321712","76645","216175","28892","346713","73808","201718","71187","245878","673349","1088147.2000000000","27"
"        Амурская область","53913","14950","27742","41130","61224","124518","17.6000000000","11.9000000000","763570","154011","448161","161398","7332","7725","7863","8711","9350","10157","10563","10828","10988","11226","10692","10197","9655","10160","9838","8726","9633","9272","172916","9634","9136","8454","8811","7914","8027","7220","8254","67450","8745","8018","8187","8853","9996","43799","12835","12974","12708","13501","13745","13663","12658","13253","13118","12018","130473","13353","12255","12167","10868","12111","12034","10713","10086","10449","9883","113919","10325","9197","8730","7676","8043","8787","8327","9412","8810","9671","88978","10661","10018","9873","8975","9440","9322","9227","8183","8422","7724","7500","6908","5235","5063","4056","2553","1742","1695","2197","2720","2775","2486","2152","1856","1433","1031","610","462","479","333","278","211","167","87","58","47","28","12","8","8","146035","361556","78977","233348","49231","402014","75034","214813","112167","242519","52174","158863","31482","277979","49825","152747","75407","523275","1596606","2045945.5000000000","59"
"        Курская область","42670","13660","24018","34253","49010","92409","15.1000000000","7.7000000000","1078156","183564","600971","293621","8793","9172","9326","10377","10830","12685","13135","13197","13182","13503","13110","11648","11247","12107","11402","9850","10018","10596","204178","10351","9745","9650","10081","9409","9664","8892","9897","77689","10498","10724","11375","11966","13153","57716","15396","16446","17360","18282","17889","17197","17516","17916","16628","15618","170248","16563","15291","15260","15326","15870","15669","14886","14428","14718","14328","152339","14918","13590","13757","13400","14369","14735","14609","16843","16928","17775","150924","19095","17788","18342","17057","17054","15679","15015","13232","13216","12221","11594","12155","9315","7835","7314","3783","2911","3072","4413","6144","5746","6095","5827","4526","3850","2597","1473","1342","1632","1210","1054","776","575","391","263","207","115","73","46","29","265062","489402","94198","310259","84945","588754","89366","290712","208676","327698","65901","207800","53997","410496","62752","208895","138849","371386","1995625","1525902.2000000000","76"
"        Ростовская область","46747","13225","24360","35924","53186","107039","17.2000000000","10.2000000000","4192322","710490","2423911","1057921","35697","36473","37720","41023","43435","48999","51262","51038","49183","49622","46231","46584","43624","45496","43461","40642","42338","40348","793176","42258","42598","39566","44312","39087","39321","38050","42632","327824","47539","44720","46232","52174","56671","247336","71229","71460","70524","73509","75158","77301","70683","73304","68068","64744","715980","74735","64730","62348","57376","61036","63032","57554","54309","56035","53007","604162","59155","50450","52192","47550","49546","55515","51313","58276","57488","60532","542017","69521","60758","59872","55820","55678","54683","53611","49159","49797","44129","45440","45117","35239","31438","28097","17997","10755","13017","16924","23182","24496","23242","21365","18747","13446","10661","5535","4063","4912","3554","3376","2357","1957","1337","986","646","443","239","134","97","961827","1954601","365651","1257722","331228","2237721","344839","1166189","726693","1307033","242079","847168","217786","1538400","228433","815630","494337","3394620","7422890","6193880.9000000000","309"
"        Смоленская область","43716","12404","22824","33631","49751","99971","17.2000000000","12.3000000000","886900","140553","502275","244072","6101","6507","7103","7788","8680","9791","9982","10119","10021","9964","9915","9148","9040","9604","9076","7714","7838","7985","156376","8376","8348","8184","8375","8068","7842","7243","7843","64279","8426","8670","8423","9687","11051","46257","12948","13902","14844","16021","15845","15010","14443","14854","13925","13650","145442","14672","13626","13645","13067","13218","12981","12668","12349","12293","12141","130660","12195","11316","11395","11242","11724","11829","12655","13323","13814","14717","124210","15303","14055","14868","14380","14035","13303","12525","11242","11052","10018","10608","10141","8304","7389","5671","3256","2858","2221","3538","4598","4408","4524","4363","3898","2819","2085","1291","1225","1330","1021","1053","666","576","316","273","182","119","75","41","46","219676","402440","72116","263101","67223","484460","68437","239174","176849","285693","52981","186783","45929","358576","50492","179442","128642","493297","1863858","942324.0000000000","75"
"        Республика Крым","32842","11999","20034","27536","37946","66695","12.4000000000","14.2000000000","1931091","363696","1072344","495051","18005","18467","19533","20787","21467","23526","25051","24467","25168","25511","24631","24431","24707","24401","22664","20880","19225","18801","401722","18009","16866","16530","16873","16711","17193","17364","18420","137966","18960","20518","21176","22892","25432","108978","28040","29695","30684","33338","34094","33858","33746","33565","31010","29836","317866","29633","28767","28356","27756","27441","26640","26186","25085","25193","24486","269543","24558","23803","23352","22993","22425","22070","23835","25240","26387","27595","242258","28023","28175","28040","27638","26971","26016","25275","23749","23263","22291","21571","20336","16975","15547","13452","8505","7947","7620","8807","8758","8800","9270","9515","8442","6713","4725","3247","2361","2255","1867","1773","1389","916","775","607","387","305","190","80","182","452758","894762","184258","559671","150833","1036329","179438","512673","344218","443428","89861","279939","73628","530803","87638","264332","178833","3153224","21955418","36318786.3000000000","144"
"        Вологодская область","42704","14042","24436","34593","49126","91323","14.5000000000","10.5000000000","1138424","220736","630828","286860","10314","10676","11039","12169","13281","15488","16090","15821","16093","16353","15166","14095","14026","13934","13506","12685","12046","12183","244965","11456","10813","9762","9636","8937","9454","9192","9916","79166","10458","10874","11692","13176","13996","60196","15512","17022","18188","19860","19540","19296","19135","19807","19474","18392","186226","18505","17476","17304","16642","16686","16108","15556","14762","14661","14055","161755","13794","13096","12879","13329","14279","15111","15858","16267","16544","17660","148817","18448","18098","17344","16905","16021","16207","15730","13546","13274","12587","12017","12410","8082","7548","6998","3770","2573","1989","3296","6258","4991","5640","4683","4199","2728","2420","1674","1518","1555","1336","1081","697","539","355","299","191","128","64","48","52","257299","522210","112606","328319","81285","616214","108130","302509","205575","369359","84626","233303","51430","455622","81658","231072","142892","904547","2564029","3415530.7000000000","106"
"        Новосибирская область","49347","14300","26107","38253","56264","111812","16.8000000000","10.2000000000","2797492","535264","1598243","663985","28189","28854","30068","32803","34613","38219","39286","38783","38732","38094","35637","32406","31442","31881","29317","26940","28200","28646","592110","30005","29728","27528","27717","26126","25019","24207","26477","216807","28255","28762","31162","34996","39821","162996","44182","46654","48861","50320","51534","50884","50331","51145","50007","45921","489839","46549","43059","42384","40331","41874","40512","39247","36823","36752","34450","401981","34414","32018","31386","29354","30361","32286","32186","35786","36349","38697","332837","40384","39198","39438","37599","36964","37165","34700","30573","29784","28682","27247","26527","21703","20186","16970","10605","7072","6697","8394","12080","13233","13677","12251","10977","7912","6225","4868","3680","3546","2772","2543","1990","1589","1162","862","647","400","291","168","161","600922","1281351","274670","808524","198157","1516141","260594","789719","465828","1007632","214129","643865","149638","1221474","203001","651871","366602","2777827","8739968","8180532.4000000000","337"
"        Пензенская область","35210","11435","19995","28403","40477","75742","14.8000000000","10.7000000000","1261103","200206","705997","354900","9502","9538","10200","10761","11506","13241","13880","14328","13998","14123","13382","14089","13816","13586","12451","11805","11855","12360","224421","11881","11288","11222","11048","11440","10871","10357","10996","89103","12140","11939","12847","14113","16367","67406","18819","20249","21032","21744","21439","21635","20140","20160","18785","18704","202707","20266","18393","18599","17435","18695","18125","17127","16732","17138","16942","179452","17196","16188","15781","16125","16601","17908","17655","19133","19370","19992","175949","21846","21060","20338","19131","19336","18939","17787","16307","16518","15565","15566","15616","12277","11626","8567","5022","3541","3565","6461","8189","8002","7820","6094","5276","4135","2807","2000","1565","1768","1257","1170","858","716","463","300","214","146","98","68","51","322065","575307","102268","367781","105258","685796","97938","338216","249642","387662","71021","248167","68474","479330","68447","241484","169399","424217","2200011","2339266.2000000000","104"
"        Кемеровская область","39401","12698","22269","31701","45274","85061","14.9000000000","10.8000000000","2592013","498265","1463954","629794","21490","22502","23619","26285","27885","32100","33439","34938","36449","36937","34266","33773","35626","35199","33078","30679","29927","29166","557358","27029","25571","24071","25229","23968","24272","23254","24235","197629","26915","28207","27726","31010","34619","148477","39404","40386","42022","44831","46185","43929","43231","46003","45265","41907","433163","42630","38664","39615","37590","38556","37511","36123","34712","34819","32585","372805","33854","30136","28241","26762","27790","28937","29645","33612","35522","38151","312650","40780","38014","37847","37586","35278","34674","33644","29989","29412","27946","27548","25119","20753","18344","15183","9662","6721","5857","7433","10564","11873","11699","10404","9790","6979","5292","4161","3147","3366","2291","2563","1690","1374","1005","718","459","372","245","82","67","569931","1186167","255491","746340","184336","1405846","242774","717614","445458","1015961","220297","642541","153123","1226837","209233","631997","385607","1423328","5871801","4835213.0000000000","202"
"        Республика Марий Эл","29733","10166","17425","24401","34271","62400","13.8000000000","15.4000000000","676351","132939","376367","167045","6376","6622","6699","7339","8075","9375","9680","9797","9866","9651","8959","8468","8604","8337","8042","7049","7127","7246","147312","6925","6732","6329","6313","6012","5988","5551","5943","49793","6452","6572","6854","7771","8927","36576","10973","11156","11696","12571","12375","11667","11508","11658","10517","10258","114379","10158","9597","9092","9099","9322","9020","8453","8004","7985","7731","88461","8430","7862","8133","8065","8496","9007","9100","10199","9866","10888","90046","11863","11073","10951","10582","9888","9746","9236","7949","7402","6794","6396","6483","5252","4747","3893","2064","1253","1183","2065","2808","2964","2809","2527","2094","1482","1233","1091","913","991","574","423","329","229","172","139","78","42","39","22","5","149784","315087","67911","196860","50316","361264","65028","179507","116729","210145","48152","129514","32479","253237","46226","128709","78302","229656","1085519","1039690.9000000000","51"
"        Ямало-Ненецкий автономный округ","139638","29742","60609","96180","153479","358180","21.4000000000","4.0000000000","511244","118576","329920","62748","7247","6190","6407","6811","6941","7704","8305","8026","8004","8250","7670","7931","7893","7375","7019","6803","6741","6413","131730","5135","4572","4310","5082","5094","5503","5203","5593","40492","6464","6194","6156","6928","7521","33263","8706","9119","9911","10734","10825","10559","10064","10340","9730","9416","99404","10012","9168","9329","8577","8973","8962","8457","8226","8325","7860","87889","7825","6979","6933","6138","6298","6883","6042","6322","6310","6234","65964","6168","5572","5211","4539","4071","3810","3350","2916","2666","2353","2085","1922","1391","1219","949","573","416","304","342","478","448","424","302","295","185","145","80","59","89","31","20","23","29","7","10","7","1","1","5","6","52502","249206","60586","169908","18712","262038","57990","160012","44036","210696","48146","146245","16305","222313","46148","137928","38237","318734","703114","2475212.7000000000","39"
"        Чеченская Республика","35692","10459","19016","27779","40734","80474","16.6000000000","19.1000000000","1514603","494014","871519","149070","29050","29529","29459","29509","30714","29259","31662","31822","32306","33464","36384","29465","29648","33575","30596","27572","29685","27657","551356","27356","25625","23186","23831","25773","24911","22488","21607","194777","22083","20330","20655","23128","22657","108853","29563","26619","24664","25004","24773","25534","22163","21706","20936","18549","239511","23936","18444","17259","15475","15494","16540","13836","13267","13580","12883","160714","15827","13077","13167","11963","12092","13210","12281","13128","12831","12460","130036","15434","12516","11485","10406","9527","8953","8003","7179","6741","5399","5826","3986","3004","2381","1506","1088","1144","1124","1574","1223","1838","1273","1316","1158","1282","945","555","647","702","220","331","109","239","45","41","27","28","20","25","56","129356","759169","254222","454734","50213","755434","239792","416785","98857","291564","100513","174896","16155","286217","94811","158626","32780","306050","756211","778052.1000000000","17"
