средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм,region
38945,12549,22009,31333,44750,14.9,10.3,979171,138830,552146,288195,156543,70265,52831,150883,142041,144000,262608,451735,71456,291728,88551,527436,67374,260418,199644,265509,43024,171381,51104,324138,40835,165059,118244,330484,1297627,1068648.3,53,Tambov Oblast
42325,13156,23393,33633,48520,15.6,10.6,3164384,552098,1799419,812867,613084,223519,182898,531314,465572,411803,736194,1452973,284309,930900,237764,1711411,267789,868519,575103,1141242,225388,733590,182264,1377325,212863,705709,458753,2039895,8471227,6331987.5,392,Samara Oblast
56617,16988,30613,44436,64736,16.2,10.0,1016030,185226,564960,265844,208029,71419,46164,164970,152644,132057,240747,470354,96112,296943,77299,545676,89114,268017,188545,359422,74758,230909,53755,427627,71141,217644,138842,774444,2702607,1703219.0,175,Arkhangelskaya
24367,8660,14620,20251,28130,13.0,26.8,511316,145814,320469,45033,164492,72769,44635,79118,59000,51741,39561,254445,74458,164380,15607,256871,71356,156089,29426,139712,39881,91507,8324,140579,38572,86416,15591,72737,115616,146580.8,4,Ingushetiya Republic
48401,13445,24934,36949,54974,17.5,10.9,710023,116682,396230,197111,130126,49974,40652,111118,101534,97562,179057,322887,60039,204803,58045,387136,56643,191427,139066,211446,38299,135952,37195,261869,36513,132651,92705,367136,1275464,730051.1,76,Oryol oblast
39695,13042,22703,32147,45662,14.6,10.6,3421556,671416,1922152,827988,743563,257025,201630,573218,481474,415143,749503,1568338,344484,985581,238273,1853218,326932,936571,589715,1284629,280476,815191,188962,1542111,265011,792765,484335,1808517,6807272,9076707.2,385,Chelyabinsk Oblast
38716,12411,21810,31093,44472,15.0,13.1,596899,98042,330426,168431,109669,44292,29791,93976,84576,82654,151941,271322,50416,173774,47132,325577,47626,156652,121299,188089,36847,121118,30124,235128,35084,115805,84239,1587931,4638187,2611635.8,68,Pskov Oblast
39646,11707,21223,30941,45274,16.5,12.7,3186902,811054,1953845,422003,906087,349171,259716,540579,395714,367845,367790,1572559,420888,1008402,143269,1614343,390166,945443,278734,711196,175951,473136,62109,730066,158735,457530,113801,1094062,3651179,3661288.4,73,Dagestan
44494,15196,26058,36501,51283,13.8,7.0,2006022,280124,1221888,504010,313341,167868,120924,380773,307147,257945,458024,943187,143987,645748,153452,1062835,136137,576140,350558,624223,94436,429605,100182,722696,89417,396043,237236,8774793,36160423,13227631.8,121,Leningrad Oblast
32979,10503,18504,26427,37867,15.1,12.9,2431012,394826,1397115,639071,441261,188329,144071,396812,349536,332504,578499,1128282,203517,727630,197135,1302730,191309,669485,441936,852298,154175,551272,146851,1009923,144879,528586,336458,814242,3183412,4479632.3,124,Saratov Oblast
54492,14427,27229,40865,61594,18.3,9.2,5832042,1112335,3307887,1411820,1234958,433455,348383,961639,841715,727943,1283949,2749485,572221,1729083,448181,3082557,540114,1578804,963639,1556645,334564,984540,237541,1765674,317201,921860,526613,18072510,100110964,149338428.0,473,Krasnodar Krai
42670,13660,24018,34253,49010,15.1,7.7,1078156,183564,600971,293621,204178,77689,57716,170248,152339,150924,265062,489402,94198,310259,84945,588754,89366,290712,208676,327698,65901,207800,53997,410496,62752,208895,138849,371386,1995625,1525902.2,76,Kursk Oblast
73313,24705,42585,59877,84446,14.1,7.0,665240,127773,397484,139983,141288,50679,36683,118623,106824,86818,124325,313983,65857,213176,34950,351257,61916,184308,105033,289062,61006,195099,32957,330148,57333,173101,99714,748734,2472395,3866254.4,112,Murmansk
33596,10792,18950,27000,38596,15.0,15.5,772332,153408,399807,219117,170003,50384,33386,109378,105886,105094,198201,351758,78869,208307,64582,420574,74539,191500,154535,219448,49841,132970,36637,274784,47458,132770,94556,320969,1182909,1248823.9,65,Kurgan Oblast
46747,13225,24360,35924,53186,17.2,10.2,4192322,710490,2423911,1057921,793176,327824,247336,715980,604162,542017,961827,1954601,365651,1257722,331228,2237721,344839,1166189,726693,1307033,242079,847168,217786,1538400,228433,815630,494337,3394620,7422890,6193880.9,309,Rostov Oblast
43482,13947,24504,34928,49949,15.0,8.1,1205637,214396,668932,322309,239273,87874,62560,193017,174501,156681,291731,541571,110134,344148,87289,664066,104262,324784,235020,433438,91047,276889,65502,543961,86031,270587,187343,1315122,3643304,5650498.6,155,Yaroslavl Oblast
34561,11149,19546,27816,39715,14.9,12.3,685393,137242,399059,149092,152768,66923,44863,106938,92491,87654,133756,319827,70571,203746,45510,365566,66671,195313,103582,197724,42578,126833,28313,235508,40361,126095,69052,354239,820637,1168706.9,22,North Ossetia–Alania
68855,16207,31901,49359,76751,20.0,10.3,3827679,856166,2284581,686932,944760,301771,228920,708252,569356,471721,602899,1816225,438373,1171481,206371,2011454,417793,1113100,480561,1457103,351739,949576,155788,1636819,335607,922860,378352,2922993,7775449,14869598.2,530,Tyumen Oblast
40521,12073,21814,31724,46306,16.4,11.1,1851537,365420,1031217,454900,404061,134597,95505,303533,264059,242592,407190,854140,187703,532858,133579,997397,177717,498359,321321,616814,131045,391881,93888,744664,124401,381369,238894,1035118,3754087,2984679.2,188,Omsk Oblast
42400,13364,23637,33855,48652,15.3,15.8,1000520,220626,586897,192997,246928,91530,62009,172612,144241,110752,172448,472241,112615,302839,56787,528279,108011,284058,136210,321615,75895,209603,36117,371257,72590,204947,93720,456732,1264553,1304471.6,74,Transbaikal Territory
43127,15148,25691,35706,49765,13.2,18.3,149580,30337,86408,32835,33622,12075,8900,25125,22666,17461,29731,70237,15526,45004,9707,79343,14811,41404,23128,47908,10667,30370,6871,57969,10247,30451,17271,60521,242823,398395.9,5,Sakhalin Oblast
32842,11999,20034,27536,37946,12.4,14.2,1931091,363696,1072344,495051,401722,137966,108978,317866,269543,242258,452758,894762,184258,559671,150833,1036329,179438,512673,344218,443428,89861,279939,73628,530803,87638,264332,178833,3153224,21955418,36318786.3,144,Crimea
44936,13165,23938,34971,51282,16.6,10.6,2525149,511793,1413072,600284,568153,193268,131667,414551,363159,313086,541265,1156657,264010,722604,170043,1368492,247783,690468,430241,859148,195984,541121,122043,1051609,183876,539205,328528,1344055,5817611,7082263.8,451,Perm Krai
87016,23149,43614,65373,98406,18.2,6.3,466009,82651,276198,107160,91629,35087,26180,81153,75752,58359,97849,222622,41962,146634,34026,243387,40689,129564,73134,183055,34888,121110,27057,201322,33797,108479,59046,311692,1137979,2371813.2,38,Sakhalin Oblast
